iso3_country_code,date,price,country,price_type,market,commodity,currency,unit
IDN,2014-02-01,,Indonesia,RETAIL,National Average,Chicken (meat),IDR,Kg
IDN,2014-03-01,,Indonesia,RETAIL,National Average,Chicken (meat),IDR,Kg
IDN,2014-04-01,,Indonesia,RETAIL,National Average,Chicken (meat),IDR,Kg
IDN,2014-05-01,,Indonesia,RETAIL,National Average,Chicken (meat),IDR,Kg
IDN,2014-06-01,,Indonesia,RETAIL,National Average,Chicken (meat),IDR,Kg
IDN,2014-07-01,,Indonesia,RETAIL,National Average,Chicken (meat),IDR,Kg
IDN,2014-08-01,,Indonesia,RETAIL,National Average,Chicken (meat),IDR,Kg
IDN,2014-09-01,,Indonesia,RETAIL,National Average,Chicken (meat),IDR,Kg
IDN,2014-10-01,,Indonesia,RETAIL,National Average,Chicken (meat),IDR,Kg
IDN,2014-11-01,,Indonesia,RETAIL,National Average,Chicken (meat),IDR,Kg
IDN,2014-12-01,,Indonesia,RETAIL,National Average,Chicken (meat),IDR,Kg
IDN,2015-01-01,,Indonesia,RETAIL,National Average,Chicken (meat),IDR,Kg
IDN,2015-02-01,,Indonesia,RETAIL,National Average,Chicken (meat),IDR,Kg
IDN,2015-03-01,,Indonesia,RETAIL,National Average,Chicken (meat),IDR,Kg
IDN,2015-04-01,,Indonesia,RETAIL,National Average,Chicken (meat),IDR,Kg
IDN,2015-05-01,,Indonesia,RETAIL,National Average,Chicken (meat),IDR,Kg
IDN,2015-06-01,,Indonesia,RETAIL,National Average,Chicken (meat),IDR,Kg
IDN,2015-07-01,,Indonesia,RETAIL,National Average,Chicken (meat),IDR,Kg
IDN,2015-08-01,,Indonesia,RETAIL,National Average,Chicken (meat),IDR,Kg
IDN,2015-09-01,,Indonesia,RETAIL,National Average,Chicken (meat),IDR,Kg
IDN,2015-10-01,,Indonesia,RETAIL,National Average,Chicken (meat),IDR,Kg
IDN,2015-11-01,,Indonesia,RETAIL,National Average,Chicken (meat),IDR,Kg
IDN,2015-12-01,,Indonesia,RETAIL,National Average,Chicken (meat),IDR,Kg
IDN,2016-01-01,,Indonesia,RETAIL,National Average,Chicken (meat),IDR,Kg
IDN,2016-02-01,,Indonesia,RETAIL,National Average,Chicken (meat),IDR,Kg
IDN,2016-03-01,,Indonesia,RETAIL,National Average,Chicken (meat),IDR,Kg
IDN,2016-04-01,,Indonesia,RETAIL,National Average,Chicken (meat),IDR,Kg
IDN,2016-05-01,,Indonesia,RETAIL,National Average,Chicken (meat),IDR,Kg
IDN,2016-06-01,,Indonesia,RETAIL,National Average,Chicken (meat),IDR,Kg
IDN,2016-07-01,,Indonesia,RETAIL,National Average,Chicken (meat),IDR,Kg
IDN,2016-08-01,,Indonesia,RETAIL,National Average,Chicken (meat),IDR,Kg
IDN,2016-09-01,,Indonesia,RETAIL,National Average,Chicken (meat),IDR,Kg
IDN,2016-10-01,,Indonesia,RETAIL,National Average,Chicken (meat),IDR,Kg
IDN,2016-11-01,,Indonesia,RETAIL,National Average,Chicken (meat),IDR,Kg
IDN,2016-12-01,,Indonesia,RETAIL,National Average,Chicken (meat),IDR,Kg
IDN,2017-01-01,,Indonesia,RETAIL,National Average,Chicken (meat),IDR,Kg
IDN,2017-02-01,,Indonesia,RETAIL,National Average,Chicken (meat),IDR,Kg
IDN,2017-03-01,,Indonesia,RETAIL,National Average,Chicken (meat),IDR,Kg
IDN,2017-04-01,,Indonesia,RETAIL,National Average,Chicken (meat),IDR,Kg
IDN,2017-05-01,,Indonesia,RETAIL,National Average,Chicken (meat),IDR,Kg
IDN,2017-06-01,,Indonesia,RETAIL,National Average,Chicken (meat),IDR,Kg
IDN,2017-07-01,,Indonesia,RETAIL,National Average,Chicken (meat),IDR,Kg
IDN,2017-08-01,,Indonesia,RETAIL,National Average,Chicken (meat),IDR,Kg
